original_skill,normalized_skill
+ Có khả năng lắng nghe người khác,có khả năng lắng nghe người khác
+ Có khả năng thu thập,có khả năng thu thập
+ Kỹ năng làm việc có tổ chức + Hiểu biết về quy trình vận hành kho hàng + Có khả năng đọc đơn hàng,kỹ năng làm việc có tổ chức + hiểu biết về quy trình vận hành kho hàng + có khả năng đọc đơn hàng
+ Kỹ năng phân tích và làm việc với những số một cách thành thạo + Hiểu biết về hóa đơn và các tác vụ với hóa đơn + Có kiến thức về hồ sơ hải quan và luật thuế hải quan + Có kinh nghiệm và kỹ năng sử dụng một số phần mềm quản lý hàng tồn kho + Có kỹ năng và kinh nghiệm quản lý phân phối + Có kiến thức và tuân thủ những nguyên tắc đảm bảo chất lượng + Cẩn thận,kỹ năng phân tích và làm việc với những số một cách thành thạo + hiểu biết về hóa đơn và các tác vụ với hóa đơn + có kiến thức về hồ sơ hải quan và luật thuế hải quan + có kinh nghiệm và kỹ năng sử dụng một số phần mềm quản lý hàng tồn kho + có kỹ năng và kinh nghiệm quản lý phân phối + có kiến thức và tuân thủ những nguyên tắc đảm bảo chất lượng + cẩn thận
+ Kỹ năng phân tích và xây dựng mô hình thống kê + Kỹ năng phân tích và trực quan hóa dữ liệu + Kỹ năng phân tích quá trình + Lập kế hoạch nhà máy + Xử lý vật liệu + Phương pháp luận: Lean,kỹ năng phân tích và xây dựng mô hình thống kê + kỹ năng phân tích và trực quan hóa dữ liệu + kỹ năng phân tích quá trình + lập kế hoạch nhà máy + xử lý vật liệu + phương pháp luận: lean
+ Sử dụng thành thạo các phần mềm quản lý hàng tồn kho + Có kiến thức về quy trình nhập xuất hàng tồn kho và các biên bản giấy tờ + Có kiến thức về hoạt động mua hàng và quy trình mua hàng + Tỉ mỉ,sử dụng thành thạo các phần mềm quản lý hàng tồn kho + có kiến thức về quy trình nhập xuất hàng tồn kho và các biên bản giấy tờ + có kiến thức về hoạt động mua hàng và quy trình mua hàng + tỉ mỉ
- 3+ years in project development-Good English communication- Strong proficiency with JavaScript (CoffeeScript depending on your technology stack)- Knowledge of Node.js and frameworks available for it such as Express,3+ years in project development-good english communication- strong proficiency with javascript (coffeescript depending on your technology stack)- knowledge of node.js and frameworks available for it such as express
- Am hiểu kiến thức về Onpage – Offpage- Am hiểu kỹ thuật Copywriting và viết bài chuẩn SEO- Đã từng SEO lên top các từ khóa trước đó (show được kết quả và nói qua cách làm)- Sử dụng thành thạo các công cụ hỗ trợ SEO như: Google webmaster tools,am hiểu kiến thức về onpage – offpage- am hiểu kỹ thuật copywriting và viết bài chuẩn seo- đã từng seo lên top các từ khóa trước đó (show được kết quả và nói qua cách làm)- sử dụng thành thạo các công cụ hỗ trợ seo như: google webmaster tools
- At least 1 years Prior Android development experience.. - Experience in Kotlin programming is a plus.. - Familiar to building applications on Android Studio,at least 1 years prior android development experience.. - experience in kotlin programming is a plus.. - familiar to building applications on android studio
- Bachelor's Degree in English Pedagogy,bachelor's degree in english pedagogy
- Bằng lái xe A1,bằng lái xe a1
- Chuyên môn: Thiết Kế Banner,chuyên môn: thiết kế banner
- Chăm chỉ,chăm chỉ
- Có bằng lái xe A1,có bằng lái xe a1
- Có bằng lái xe B2 - Nắm rõ các quy định về quy trình vận tải hành khách và hàng hóa,có bằng lái xe b2 - nắm rõ các quy định về quy trình vận tải hành khách và hàng hóa
- Có khả năng chịu áp lực cao trong công việc - Luôn tuân thủ nguyên tắc làm việc chuyên nghiệp,có khả năng chịu áp lực cao trong công việc - luôn tuân thủ nguyên tắc làm việc chuyên nghiệp
- Có khả năng làm việc độc lập,có khả năng làm việc độc lập
- Có khả năng nhớ đường tốt chỉ cần đi một lần. - Thông thạo các tuyến đường tỉnh và đường liên tỉnh. - Tuân thủ nghiêm đối với luật giao thông đường bộ. - Có khả năng trong việc giải quyết các vấn đề xảy ra trong quá trình di chuyển. - Có thể thiết lập được các mối quan hệ với đồng nghiệp thật tốt. - Tổ chức kế hoạch công việc hiệu quả. - Sắp xếp,có khả năng nhớ đường tốt chỉ cần đi một lần. - thông thạo các tuyến đường tỉnh và đường liên tỉnh. - tuân thủ nghiêm đối với luật giao thông đường bộ. - có khả năng trong việc giải quyết các vấn đề xảy ra trong quá trình di chuyển. - có thể thiết lập được các mối quan hệ với đồng nghiệp thật tốt. - tổ chức kế hoạch công việc hiệu quả. - sắp xếp
