pair_id,jd_text,cv_text,"label (1=relevant, 0=not_relevant)",Q2_dealbreaker (Yes/No/Uncertain),annotator_id
3475,"TITLE: Nhân Viên Kinh Doanh Hỗ Trợ Npp | REQ: - Ưu tiên có kinh nghiệm ở vị trí nhân viên kinh doanh( chưa có kinh nghiệm sẽ được đào tạo)- Trung thực, nhanh nhẹn, nhiệt tình, có trách nhiệm với công việc- Có khả năng ăn nói, giao tiếp, đàm phán, thuyết phục- Có khả năng đi thị trường | DESC: - Chăm sóc khách hàng cũ được giao trên địa bàn- Khai thác các khách hàng mới trên địa bàn- Thúc đẩy doanh số- Tương tác và xây dựng mối quan hệ thân thiết với khách hàng- Báo cáo, kế hoạch, phương án kinh doanh- Hỗ trợ các bộ phận khác hoàn thành công việc- Thực hiện các nhiệm vụ khác theo yêu cầu của công ty","DESIRED JOB: Nhân viên lái xe hạng FC | SKILLS: Có chí tiến thủ đối với công việc Có khả năng đi xa, đi dài ngày, sức khỏe đảm bảo tốt cho tính chất công việc vận tải Chăm chỉ, làm việc nhiệt tình, không quản ngại khó khăn, tinh thần trách nhiệm cao, chấp hành tốt các quy định mà công ty đề ra. Thông thạo luật giao thông, thạo đường xá Tích cực giải quyết các vấn đề liên quan đến công việc Có thể tăng ca ngoài giờ làm Kiểm tra, đánh giá cẩn thận các tuyến vận chuyển đã thực hiện, chủ động rút kinh nghiệm cho các công tác sau | EXP: 5-10 năm",,,
1946,"TITLE: Python Django Developer | REQ: ● Good problem analyzing and solving skills● Good knowledge in MVC, SOAP and/or RESTful.● Good knowledge about Design patterns● Good knowledge in Restful API development.● Experience in requirement analysis, system design, Web Application Development architect● Have at least 2 years of experience in Python, with knowledge in web programming withextensive knowledge of Python web (Django).● Understanding of the threading limitations of Python, and multi-process architecture.● Good understanding of server-side templating languages (Jinja 2, Mako).● Experience in SQL/NoSQL databases and their declarative query languages● Proficient understanding of code versioning tools (Git) and git flow process.NICE TO HAVE:● Have knowledge in Micro service architecture.● Good knowledge working with system or working CI/CD tools such as Jenkins, Docker● Experience working with common third-party APIs (LINE, Stripe ... ) is a plus● Experience with some service of aws, gcp, azure ..● Experience with multiple database types such as Redis, MongoDB, ElasticSearch, etc. | DESC: ● Write effective, scalable, usable code.● Develop back-end components to improve responsiveness and overall performance.● Integrate user-facing elements into applications.● Test and debug programs.● Improve functionality of existing systems.● Implement security and data protection solutions.● Assess and prioritize feature requests.● Coordinate with internal teams to understand user requirements and provide technicalsolutions.","DESIRED JOB: Nhân viên lái xe hạng B2 | SKILLS: - Tôi tự tin rằng mình có khả năng ghi nhớ tốt đối với những quãng đường từng đi qua, bên cạnh đó nếu có yêu cầu thì cũng sẽ tìm hiểu để đáp ứng nhiệm vụ được phân công trên những tuyến đường mới - Có khả năng quan sát, điều khiển phương tiện giao thông an toàn khi làm nhiệm vụ | EXP: Trên 10 năm",,,
4955,"TITLE: Lập Trình Viên Fullstack (Đi Làm Sau Tết) | REQ: - Nam/Nữ, từ 25 đến 35 tuổi- Tốt nghiệp đại học chính quy, ngành CNTT, Điện tử viễn thông, Toán tin; Ưu tiên sinh viên tốt nghiệp trường Đại học Bách Khoa, Đại học Khoa học tự nhiên, Đại học Công nghệ, Học viện bưu chính viễn thông- Thành thạo các kỹ thuật trong .NET technology: C thăng, ASP.NET WebForms, .NET MVC ADO.NET, Webservice, XML…- Có kinh nghiệm các kỹ thuật lập trình Website: HTML, CSS, JS, Ajax, jQuery…- Hiểu biết tốt về Design pattern ( Singleton, factory … ),OOP, SOAP services, Web API- Sử dụng thành thạo các công cụ quản lý Source Code như Git, SVN…;- Thành thạo RESTful, SOAP.- Đã làm việc trên: Oracle hoặc có kinh nghiệm trên các hệ quản trị cơ sở dữ liệu khác: MSSQL server, MySQL, NonSQL…- Hiểu biết và có kinh nghiệm về xây dựng hệ thống bán hàng trực tuyến, php,java là một lợi thế- Có khả năng tự học tập, tra cứu và đọc hiểu tiếng Anh chuyên ngành- Có khả năng làm việc độc lập hoặc làm việc theo nhóm | DESC: - Tham gia phát triển sản phẩm là các hệ thống về thương mại điện tử, hệ thống Loyalty và sản phẩm khác…- Tham gia phát triển core, backend, frontend các dự án, sản phẩm của công ty.- Lập trình xây dựng sản phẩm cho các hệ thống với đối tác là các doanh nghiệp, các tổ chức hợp tác.- Lập trình, xây dựng API cho các dịch vụ của công ty theo sự phân công của trưởng bộ phận.- Công việc khác:• Phân tích thiết kế hệ thống, phân tích thiết kế CSDL.• Triển khai hệ thống, hỗ trợ dự án.","DESIRED JOB: Nhân viên bán thuốc | SKILLS: - Sự hiểu biết và tính ham học hỏi - Giao tiếp, ứng xử với mọi người tốt - Dễ dàng hòa nhập với môi trường làm việc mới - Kỹ năng lên kế hoạch, tổ chức sắp xếp công việc. - Khả năng tư duy sáng tạo. - Kỹ năng tự chủ, nghiên cứu học hỏi tốt. - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Sử dụng thành thạo phần mềm Microsoft Word, Excel, Power Point … - Kỹ năng lãnh đạo tốt | EXP: 3-5 năm",,,
2151,"TITLE: Nodejs Developer | REQ: - 3+ years in project development-Good English communication- Strong proficiency with JavaScript (CoffeeScript depending on your technology stack)- Knowledge of Node.js and frameworks available for it such as Express, StrongLoop, etc)- Understanding the nature of asynchronous programming and its quirks and workarounds- Good understanding of server-side templating languages ( Jade, EJS, etc)- Good understanding of server-side CSS preprocessors (Stylus, Less, etc)- Basic understanding of front-end technologies, such as HTML5, and CSS3- Understanding accessibility and security compliance- User authentication and authorization between multiple systems, servers, and environments- Integration of multiple data sources and databases into one system- Understanding fundamental design principles behind a scalable application- Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform- Creating database schemas that represent and support business processes- Implementing automated testing platforms and unit tests- Proficient understanding of code versioning tools, such as Git- Fluent in English communication | DESC: - Integration of user-facing elements developed by front-end developers with server side logic. - Writing reusable, testable, and efficient code. - Design and implementation of low-latency, high-availability, and performant applications. - Implementation of security and data protection. - Integration of data storage solutions (databases, key-value stores, blob stores, etc.)","DESIRED JOB: Nhân viên lái xe hạng E | SKILLS: - Nắm rõ luật giao thông và luôn chấp hành nghiêm chỉnh luật giao thông khi tham gia trên đường - Luôn ý thức được hành vi của bản thân khi đang điều khiển phương tiện giao thông trên đường - Tuân thủ đúng quy định mà Nhà nước và doanh nghiệp đề ra đối với nghiệp vụ lái xe như chạy đúng tốc độ, không sử dụng rượu bia hoặc các chất kích thích khác, không lái xe khi không đủ tỉnh táo,... - Có khả năng ghi nhớ đường cực tốt, chỉ cần đi một lần là nhớ - Có tính cần cù, chăm chỉ và siêng năng trong khi làm việc - Luôn đặt công việc là ưu tiên hàng đầu - Có kỹ năng giải quyết các vấn đề phát sinh trong quá trình làm việc hiệu quả | EXP: Trên 10 năm",,,
731,"TITLE: Nhân Viên Quản Lý Đơn Hàng | REQ: 1. Tốt nghiệp Đại học/cao đẳng 2. Có kinh nghiệm 2 - 3 năm tại vị trí tương đương (hàng dệt kim)3. Hiểu biết kỹ lưỡng về phát triển sản phẩm và quy trình tìm nguồn cung ứng4. Có kiến thức về sản phẩm dệt may và kỹ thuật, nguyên phụ liệu.5. Khả năng đánh giá nhà cung cấp và dự báo rủi ro trong hợp tác.6. Có trách nhiệm, thành thạo kỹ năng giao tiếp, tạo dựng từng mối quan hệ và kỹ năng làm việc nhóm.7. Có khả năng làm việc với tất cả các cấp và phải có khả năng thích ứng với các phong cách làm việc khác nhau. | DESC: 1. Xây dựng kế hoạch mua theo mùa và kế hoạch chi tiết theo đơn hàng với nhà máy và nội bộ2. Phát triển mẫu mã sản phẩm3. Đảm bảo đồng bộ sản xuất đúng với kế hoạch của nhà máy4. Kiểm tra và giám sát báo giá, đàm phán giá đảm bảo tối ưu hóa giá vốn5. Trình duyệt đơn hàng/hợp đồng/phụ lục theo đúng quy trình6. Phân công và sắp xếp công việc cho các nhân viên trong team phù hợp với kế hoạch.7. Kiểm soát tiến độ hoạt động mua hàng cung ứng theo kế hoạch chung8. Triển khai theo dõi tiến độ sản xuất thực tế, xuất nguyên phụ liệu cho đơn vị gia công9. Giải quyết các vấn đề phát sinh tại nhà cung cấp về tiến độ giao hàng, quyết toán nguyên phụ liệu, hàng hóa và các khiếu nại nếu có10. Báo cáo tiến độ theo tuần, tháng, mùa của từng mã hàng","DESIRED JOB: Nhân viên lái xe bằng D | SKILLS: - Luôn đặt công việc làm ưu tiên hàng đầu trong cuộc sống - Có thể đi công tác xa nhà trong thời gian dài - Có khả năng ghi nhớ đường tốt, thành thạo các cung đường thuộc địa bàn mà công ty yêu cầu - Có am hiểu luật giao thông đường bộ và luôn chấp hành nghiêm chỉnh các quy định khi tham gia giao thông - Có khả năng quan sát kỹ các làn đường, tuyến đường, quan sát từ xa để giảm thiểu những rủi ro không đáng có - Có sức khỏe tốt để thực hiện được tất cả các công việc được giao phó như bốc dỡ hàng hóa khi thiếu người | EXP: 5-10 năm",,,
224,"TITLE: Nhân Viên Kinh Doanh (Lương Trung Bình Lên Đến 10 Triệu) Thành Phố Thủ Đức | REQ: 1. Có kinh nghiệm tư vấn chốt đơn online qua: shopee, lazada,...2. Có đam mê với việc bán hàng.3. Cầu tiến, có chí tiến thủ.4. Chăm chỉ, biết lắng nghe.5. Có khả năng làm việc nhóm6. Biết lái xe ô tô là một lợi thế | DESC: Công việc liên quan đến điện lạnh: Bán băng quấn Hàn Quốc, Máy lạnh di động 1.Tư vấn sản phẩm2. Lên đơn. Hướng dẫn khách hàng thanh toán.3.Chăm sóc lại Remarketing4. Báo cáo xuất kho hàng bán.5. Theo sát, kiểm tra đường đi của đơn hàng sau khi khách hàng mua sản phẩm, Cho đến khi khách hàng nhận và thanh toán.6. Trực và nhận điện thoại làm việc với Đơn vị vận chuyển xử lý vụ việc COD (nếu có).7. Xử lý tình huống từ chối của khách hàng sau khi mua hàng.8. Các công việc khác của một nhân viên bán hàng.","DESIRED JOB: Nhân viên Lái xe hạng C | SKILLS: Có những kỹ năng chuyên sâu trong vấn đề chuyển giao nhận hàng vì đã có kinh nghiệm. Biết cách phục vụ khách hàng, làm hài lòng khách hàng. Có khả năng lãnh đạo, đứng đầu trong việc quản lý hàng hóa. Cẩn trọng trong từng khâu chuỗi làm việc. Hòa đồng, năng động, vui vẻ với mọi người xung quanh. | EXP: Trên 10 năm",,,
2339,"TITLE: Senior Human Resource Officer | REQ: • Minimum 4 - 5 years of experience in a similar position, at least 1-2 years in the IT field.• Experienced in recruiting Tech positions.• University degree in Human Resource Management, Business Administration or related field…• Good communication & presentation skills• Good management & organization skills• Dynamic, enthusiastic, eager to learn. | DESC: • Talent Acquisition (40%)- Plan and execute the company's talent acquisition strategy- Manage and implement recruitment and selection processes (resume screening, call screening, interviews, etc.).- Develop and measure the success of recruitment procedure.- Conduct sourcing activities to fill vacant positions- Manage these candidate pools to ensure qualified candidates remain engaged in current or future opportunities.- Build long-term relationships with partner & potential candidates. - In charge of onboarding training • Employee Retention (30%)- Developing and implementing employee training programs aimed at improving employee performance on the job- Participate reviewing employee performance records to determine if employees should be terminated or promoted based on their performance- Recommending changes in employee compensation based on market data to ensure that salaries are competitive with other companies in the industry- Conducting exit interviews to identify reasons why they left the company and ways to prevent turnover in the future.- Reviewing employee complaints so that appropriate action can be taken• General tasks: (30%)- Management and implementation of labor contracts, employee records, ... other related documents.- Manage and conduct administrative tasks: office repair, electricity payment, monthly rent- Organize all engagement activities: employee birthday, teambuilding, YEP,....- Manage the office operation cost monthly• Work closely with other departments to solve problems","DESIRED JOB: Nhân viên lái xe ca đêm hạng C | SKILLS: - Tôi tự tin rằng mình có khả năng ghi nhớ tốt đối với những quãng đường từng đi qua, bên cạnh đó nếu có yêu cầu thì cũng sẽ tìm hiểu để đáp ứng nhiệm vụ được phân công trên những tuyến đường mới - Có khả năng quan sát, điều khiển phương tiện giao thông an toàn khi làm nhiệm vụ | EXP: 1-3 năm",,,
3500,"TITLE: Trưởng Nhóm Kinh Doanh | REQ: • Tốt nghiệp Cao đẳng/ Đại học. • Có kinh nghiệm quản lý nhóm. • Sử dụng thành thạo máy tính văn phòng. • Có khả năng phân tích, thu thập thông tin, xử lý tình huống, làm báo cáo.. • Có kinh nghiệm ở vị trí tương đương | DESC: • Chịu trách nhiệm thực hiện chỉ tiêu kinh doanh cá nhân và chỉ tiêu kinh doanh nhóm đã được phân bổ theo chiến lược kinh doanh của Công ty.. • Lập và tổ chức thực hiện kế hoạch kinh doanh đảm bảo đạt được chỉ tiêu của Công ty. • Điều hành đội ngũ nhân viên trong nhóm phối hợp với các bộ phận liên quan thực hiện các buổi hội thảo, sự kiện của trung tâm hoặc công ty tổ chức và các buổi học thử cho học sinh.. • Cập nhật doanh số bán hàng trong phần mềm quản lý bán hàng của Công ty. • Lập và nộp báo cáo theo định kỳ quy định của Công ty hoặc khi được yêu cầu","DESIRED JOB: Nhân viên lái xe bằng D | SKILLS: - Luôn đặt công việc làm ưu tiên hàng đầu trong cuộc sống - Có thể đi công tác xa nhà trong thời gian dài - Có khả năng ghi nhớ đường tốt, thành thạo các cung đường thuộc địa bàn mà công ty yêu cầu - Có am hiểu luật giao thông đường bộ và luôn chấp hành nghiêm chỉnh các quy định khi tham gia giao thông - Có khả năng quan sát kỹ các làn đường, tuyến đường, quan sát từ xa để giảm thiểu những rủi ro không đáng có - Có sức khỏe tốt để thực hiện được tất cả các công việc được giao phó như bốc dỡ hàng hóa khi thiếu người | EXP: 5-10 năm",,,
3240,"TITLE: Nhân viên bán hàng, nhân viên kho, nhân viên thu ngân | REQ: Cửa hàng tiện lợi cần tuyển thêm 6 nhân viên- Công việc: + Sắp xếp, kiểm tra tem, nhãn mác sản phẩm + Vệ sinh sạch sẽ, gọn gàng nơi làm việc + Trưng bày sản phẩm và đứng bán trực tiếp tại cửa hàng - Vị trí cần tuyển: + 4 nhân viên bán hàng + 1 nhân viên kho+ 1 nhân viên thu ngân - Mức lương: + Ca 4 tiếng: 3.200.000 + phụ cấp xăng xe đi lại + Ca 8 tiếng: 7.500.000 + phụ cấp xăng xe đi lại - Yêu cầu: + Độ tuổi từ 19 đến 35 tuổi + Giao tiếp tốt, tự tin, lịch sự với khách hàng cũng như các bạn nhân viên làm việc+ Không yêu cầu kĩ năng, ngoại hình hay kinh nghiệm + Đã tiêm vaccine trên 1 mũi - Quyền lợi: + Được làm việc trong môi trường sạch sẽ, thoáng mát, lịch sự+ Được nghỉ 2 ngày trong 1 tháng + Sau 2 tháng làm việc sẽ được ký kết hợp đồng lao động và được nhận đồng phục của cửa hàng + Sau 3 tháng làm việc sẽ được xem xét tăng lương từ 500.000 đến 1.500.000 và được hưởng các chế độ BHXH, BHYT + Sau 6 tháng gắn bó làm việc sẽ được hưởng lương tháng thứ 13 LIÊN HỆ TRỰC TIẾP SẼ ĐƯỢC ƯU TIÊN SẮP XẾP VÀO VỊ TRÍ MÌNH MUỐN | DESC: Cửa hàng tiện lợi cần tuyển thêm 6 nhân viên- Công việc: + Sắp xếp, kiểm tra tem, nhãn mác sản phẩm + Vệ sinh sạch sẽ, gọn gàng nơi làm việc + Trưng bày sản phẩm và đứng bán trực tiếp tại cửa hàng - Vị trí cần tuyển: + 4 nhân viên bán hàng + 1 nhân viên kho+ 1 nhân viên thu ngân - Mức lương: + Ca 4 tiếng: 3.200.000 + phụ cấp xăng xe đi lại + Ca 8 tiếng: 7.500.000 + phụ cấp xăng xe đi lại - Yêu cầu: + Độ tuổi từ 19 đến 35 tuổi + Giao tiếp tốt, tự tin, lịch sự với khách hàng cũng như các bạn nhân viên làm việc+ Không yêu cầu kĩ năng, ngoại hình hay kinh nghiệm + Đã tiêm vaccine trên 1 mũi - Quyền lợi: + Được làm việc trong môi trường sạch sẽ, thoáng mát, lịch sự+ Được nghỉ 2 ngày trong 1 tháng + Sau 2 tháng làm việc sẽ được ký kết hợp đồng lao động và được nhận đồng phục của cửa hàng + Sau 3 tháng làm việc sẽ được xem xét tăng lương từ 500.000 đến 1.500.000 và được hưởng các chế độ BHXH, BHYT + Sau 6 tháng gắn bó làm việc sẽ được hưởng lương tháng thứ 13 LIÊN HỆ TRỰC TIẾP SẼ ĐƯỢC ƯU TIÊN SẮP XẾP VÀO VỊ TRÍ MÌNH MUỐN","DESIRED JOB: nhân viên QC Thực phẩm | SKILLS: Lập báo cáo chi tiết tình hình chất lượng trong từng công đoạn, phụ trách báo cáo tổng hợp Phụ trách tốt những đầu việc mà sếp giao (không liên quan đến vị trí công việc như làm powerpoint, thống kê thông tin khách hàng,...) Có sức khoẻ tốt, chịu được áp lực cao trong công việc Có khả năng phân tích dữ liệu Kiểm soát chất lượng nguyên liệu đầu vào và quy trình đóng gói hàng hóa, sản phẩm Phối hợp với bộ phận sản xuất để tìm cách giải quyết khi có lỗi phát sinh Trình độ ngoại ngữ tốt: TOEIC 900 | EXP: Chưa có kinh nghiệm",,,
4013,"TITLE: Vị Trí Kế Toán | REQ: - Trình độ chuyên môn: Tài chính – kế toán hoặc chuyên ngành liên quan- Sử dụng thành thạo tin học văn phòng- Ưu tiên ứng viên đã có kinh nghiệm- Biết hạch toán chi phí- Nhanh nhẹn, nhiệt tình, trung thực có chuyên môn tốt, có kỹ năng làm việc nhóm, chủ động trong công việc- Có tính kỷ luật, thái độ tốt, trách nhiệm và nghiêm túc trong công việc | DESC: - Thực hiện nghiệp vụ kế toán, lưu trữ chứng từ hóa đơn.- Theo dõi công nợ phải thu, phải trả- Theo dõi thu chi- Tính bảng lương, chế độ BHXH- Kiểm soát doanh thu- Cuối tháng làm báo cáo công nợ và doanh thu cho ban giám đốc- Các công việc hành chính khác theo yêu cầu","DESIRED JOB: Nhân viên Kế Toán | SKILLS: - Trung thực, nhiệt tình, trách nhiệm. - Kỹ năng thuyết trình tốt - Dễ dàng hòa nhập với môi trường làm việc mới - Quản lý thời gian hiệu quả - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm tốt. - Khả năng giải quyết vấn đề linh hoạt - Kỹ năng thao tác bàn phím tốt - Khả năng truyền đạt thông tin hiệu quả | EXP: Chưa có kinh nghiệm",,,
